stock_id,symbol,isin,first_seen
2,20MICRONS,INE144J01027,2026-09-07
3,21STCENMGM,INE253B01015,2026-09-07
10351,360ONE,INE466L01038,2026-09-07
10226,3BBLACKBIO,INE994E01018,2026-09-07
10415,3IINFOLTD,INE748C01038,2026-09-07
4,3IINFOTECH,,2026-09-07
5,3MINDIA,INE470A01017,2026-09-07
6,3PLAND,INE105C01023,2026-09-07
7,5PAISA,INE618L01018,2026-09-07
8,63MOONS,INE111B01023,2026-09-07
2053799,8KMILES,,2026-09-07
9,A2ZINFRA,INE619I01012,2026-09-07
9707,AAATECH,INE0D0U01013,2026-09-07
11711,AADHARHFC,INE883F01010,2026-09-07
11382,AAKASH,INE087Z01024,2026-09-07
9658,AAREYDRUGS,INE198H01019,2026-09-07
10515,AARNAV,INE750R01016,2026-09-07
9297,AARON,INE721Z01010,2026-09-07
9996,AARTECH,INE01C001026,2026-09-07
10,AARTIDRUGS,INE767A01016,2026-09-07
11,AARTIIND,INE769A01020,2026-09-07
10917,AARTIPHARM,INE0LRU01027,2026-09-07
10595,AARTISURF,INE09EO01013,2026-09-07
12,AARVEEDEN,,2026-09-07
10955,AARVI,INE754X01016,2026-09-07
9977,AASTHA,INE2FMX01012,2026-09-07
13,AAVAS,INE216P01012,2026-09-07
14,ABAN,INE421A01028,2026-09-07
11293,ABANSENT,INE365O01028,2026-09-07
15,ABB,INE117A01022,2026-09-07
16,ABBOTINDIA,INE358A01014,2026-09-07
17,ABCAPITAL,INE674K01013,2026-09-07
10411,ABCOTS,INE08PH01015,2026-09-07
10017,ABDL,INE552Z01027,2026-09-07
18,ABFRL,INE647O01011,2026-09-07
492854,ABGSEC,,2026-09-07
9610,ABINFRA,INE00YB01025,2026-09-07
9951,ABLBL,INE14LE01019,2026-09-07
11613,ABMINTLLTD,INE251C01025,2026-09-07
11325,ABMKNO,INE850B01026,2026-09-07
10969,ABREL,INE055A01016,2026-09-07
1369691,ABSL10BANK,,2026-09-07
10115,ABSLAMC,INE404A01024,2026-09-07
19,ABSLBANETF,,2026-09-07
11849,ABSLLIQUID,,2026-09-07
1350340,ABSLMSCIN,,2026-09-07
20,ABSLNN50ET,,2026-09-07
427564,ABSLPSE,,2026-09-07
21,ACC,INE012A01025,2026-09-07
22,ACCELYA,INE793A01012,2026-09-07
9493,ACCURACY,INE648Z01023,2026-09-07
23,ACE,INE731H01025,2026-09-07
10846,ACEINTEG,INE543V01017,2026-09-07
10581,ACGL,INE451C01013,2026-09-07
9295,ACI,INE128X01021,2026-09-07
11019,ACL,INE666E01020,2026-09-07
199850,ACLGATI,,2026-09-07
11531,ACMESOLAR,INE622W01025,2026-09-07
10941,ACSTECH,INE366C01021,2026-09-07
11269,ACUTAAS,INE00FF01025,2026-09-07
9891,ADANIENSOL,INE931S01010,2026-09-07
24,ADANIENT,INE423A01024,2026-09-07
25,ADANIGAS,,2026-09-07
26,ADANIGREEN,INE364U01010,2026-09-07
27,ADANIPORTS,INE742F01042,2026-09-07
28,ADANIPOWER,INE814H01029,2026-09-07
29,ADANITRANS,,2026-09-07
11173,ADDIND,INE757C01021,2026-09-07
30,ADFFOODS,INE982B01027,2026-09-07
31,ADHUNIKIND,,2026-09-07
9806,ADL,INE0CHO01012,2026-09-07
32,ADLABS,,2026-09-07
9552,ADOR,INE045A01017,2026-09-07
33,ADORWELD,,2026-09-07
34,ADROITINFO,INE737B01033,2026-09-07
35,ADSL,INE102I01027,2026-09-07
10530,ADVAIT,INE0ALI01010,2026-09-07
11406,ADVANCE,INE1B0W01010,2026-09-07
36,ADVANIHOTR,INE199C01026,2026-09-07
9896,ADVENTHTL,INE28GN01010,2026-09-07
37,ADVENZYMES,INE837H01020,2026-09-07
11357,ADVIKCA,INE178T01024,2026-09-07
38,AEGISCHEM,,2026-09-07
11172,AEGISLOG,INE208C01025,2026-09-07
10910,AEGISVOPAK,INE0INX01018,2026-09-07
10942,AEPL,INE757T01025,2026-09-07
11638,AEQUS,INE947N01017,2026-09-07
10641,AEROENTER,INE065D01027,2026-09-07
11134,AEROFLEX,INE024001021,2026-09-07
9852,AERONEU,INE035801013,2026-09-07
9866,AEROPLANE,INE05TO01019,2026-09-07
10789,AETHER,INE0BWX01014,2026-09-07
9696,AFCONS,INE101I01011,2026-09-07
10063,AFFLE,INE00WC01027,2026-09-07
10170,AFFORDABLE,INE692Z01013,2026-09-07
11222,AFIL,INE916Y01027,2026-09-07
11434,AFSL,INE00ZE01026,2026-09-07
39,AGARIND,INE204E01012,2026-09-07
9960,AGARWALEYE,INE943P01029,2026-09-07
1770110,AGCNET,,2026-09-07
11667,AGI,INE415A01038,2026-09-07
9969,AGIIL,INE976R01033,2026-09-07
9943,AGL,INE1YPB01014,2026-09-07
1696374,AGLSL,,2026-09-07
40,AGRITECH,INE449G01018,2026-09-07
41,AGROPHOS,INE740V01019,2026-09-07
11874,AGSTRA,,2026-09-07
11098,AHCL,INE0Y8W01025,2026-09-07
11875,AHL,,2026-09-07
9937,AHLADA,INE00PV01013,2026-09-07
42,AHLEAST,INE926K01017,2026-09-07
43,AHLUCONT,INE758C01029,2026-09-07
44,AHLWEST,INE915K01010,2026-09-07
45,AIAENG,INE212H01026,2026-09-07
10222,AIIL,INE206F01022,2026-09-07
46,AIONJSW,,2026-09-07
47,AIRAN,INE645W01026,2026-09-07
11656,AIROLAM,INE801L01010,2026-09-07
48,AJANTPHARM,INE031B01049,2026-09-07
11554,AJAXENGG,INE274Y01021,2026-09-07
49,AJMERA,INE298G01035,2026-09-07
11563,AJOONI,INE820Y01021,2026-09-07
10489,AKASH,INE737W01013,2026-09-07
11188,AKCAPIT,INE701G01012,2026-09-07
11746,AKG,INE00Y801016,2026-09-07
9968,AKI,INE642Z01026,2026-09-07
10940,AKSHAR,INE256Z01025,2026-09-07
50,AKSHARCHEM,INE542B01011,2026-09-07
51,AKSHOPTFBR,INE523B01011,2026-09-07
11258,AKUMS,INE09XN01023,2026-09-07
52,AKZOINDIA,,2026-09-07
53,ALANKIT,INE914E01040,2026-09-07
54,ALBERTDAVD,INE155C01010,2026-09-07
1696390,ALBK,,2026-09-07
1967130,ALCHEM,,2026-09-07
55,ALEMBICLTD,INE426A01027,2026-09-07
11213,ALFREDHE,INE782D01027,2026-09-07
